م,title,category,city,address,phone,offers,contact_person,contact_person_phone,notes
1,مستشفيات اندلسية,مستشفى,المعادى , 4ج/6 تقسيم  اللاسلكى - المعادى الجديدة,16781,خصم 25 % على الكشف - 20 % على الداخلى والعمليات ,"مى
مارينا","010 60760290
012 80856698",
2,مستشفى الشبراويشي,مستشفى,الدقى,ميدان فيـــنى,37606444,خصم 20% على الكشف - 10% على العمليات والرعاية  والداخلى,نانسي,010 22053377,
3,مستشفى بدران ,مستشفى,الدقى,3ش الاحرار,19986,خصم 30% على الكشف - 20% على الداخلى والعمليات,حسين,010 95699919,
4,مستشفى جراند,مستشفى,مصر الجديدة,177ش العروبة امام بوابة الكلية الحربية,012 11118702,خصم 50 % على الكشف - 30% على الخدمات,كريم خطاب,0111 0008535,
5,مستشفى فلسطين,مستشفى,مصر الجديدة,64ش الثورة ارض الجولف,22909007,خصم 25% على الخارجى - 20 % على الداخلى,احمد فوزى,010 06154672,
6,مستشفى الخلفاء الراشدين,مستشفى,مصر الجديدة,1ش السباق من ش الحجاز ,26366340,خصم 15%,سيد,0111 4017888,
7,مستشفى المستقبل التخصصي,مستشفى,مصر الجديدة,67ش نخلة المطيعى - ميدان تريومف,011 51001177,خصم 30% على الكشف 20% على الفحوصات 15 % على العمليات,زينب,012 27360203,
8,مستشفى الميريلاند,مستشفى,مصر الجديدة,91ش جسر السويس - اشارة روكسي,22579226,خصم 20% على الكشف - 10% على العمليات والرعاية  والداخلى,معتز,0100 5666698,
9,مستشفى غار حراء,مستشفى,مصر الجديدة,28أ ش الحجاز ميدان المحكمة,011 04792411,خصم 50 % على الكشف - 15 % على العمليات - 10% على الرعاية ,احمد راغب,010 11112229,
10,مستشفى روكسي التخصصي,مستشفى,مصر الجديدة,25ش الخليفة المأمون - روكسي,010 20880066,كشف طوارىء واخصائي 180ج - استشارى 250ج - خصم 10% على الخارجى - 5% على العمليات والرعاية ,فاطمة ,011 28310236,
